,Unnamed: 0,question_and_options,answer,difficulty
69,69,"<div><p>With reference to agriculture in India, how can the technique of ‘genome sequencing’, often seen in the news, be used in the immediate future?</p><ol><li>Genome sequencing can be used to identify genetic markers for disease resistance and drought tolerance in various crop plants.</li><li>This technique helps in reducing the time required to develop new varieties of crop plants.</li><li>It can be used to decipher the host-pathogen relationships in crops.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Difficult
70,70,<div><p>The main advantage of the parliamentary form of governments is that</p><p>(a) the executive and legislature work independently.</p><p>(b) it provides continuity of policy and is more efficient.</p><p>(c) the executive remains responsible to the legislature.</p><p>(d) the head of the government cannot be changed without election.</p></div>,c,Easy
71,71,"<div><p>In the context of India, which one of the following is the correct relationship between Rights and Duties?</p><p>(a) Rights are correlative with Duties.</p><p>(b) Rights are personal and hence independent of society and Duties.</p><p>(c) Rights, not Duties, are important for the advancement of the personality of the citizen.</p><p>(d) Duties, not Rights, are important for the stability of the State.</p></div>",a,Easy
72,72,<div><p>The mind of the makers of the Constitution of India is reflected in which of the following?</p><p>(a) The Preamble</p><p>(b) The Fundamental Rights</p><p>(c) The Directive Principles of State Policy</p><p>(d) The Fundamental Duties</p></div>,a,Easy
73,73,"<div><p>If you travel by road from Kohima to Kottayam, what is the minimum number of States within India through which you can travel, including the origin and the destination?</p><p>(a) 6</p><p>(b) 7</p><p>(c) 8</p><p>(d) 9</p></div>",b,Difficult
74,74,"<div><p>The Parliament of India exercises control over the functions of the Council of Ministers through</p><ol><li>Adjournment motion</li><li>Questions hour</li><li>Supplementary questions</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Easy
75,75,"<div><p>With reference to the Parliament of India, consider the following statements:</p><ol><li>A private member’s bill is a bill presented by a Member of Parliament who is not elected but only nominated by the President of India.</li><li>Recently, a private member’s bill has been passed in the Parliament of India for the first time in its history.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",d,Difficult
76,76,"<div><p>With reference to the difference between the culture of Rigvedic Aryans and Indus Valley people, which of the following statements is/are correct?</p><ol><li>Rigvedic Aryans used the coat of mail and helmet in warfare whereas the people of Indus Valley Civilization did not leave any evidence of using them.</li><li>Rigvedic Aryans knew gold, silver and copper whereas Indus Valley people knew only copper and iron.</li><li>Rigvedic Aryans had domesticated the horse whereas there is no evidence of Indus Valley people having aware of this animal.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Difficult
77,77,<div><p>Recognition of Prior Learning Scheme’ is sometimes mentioned in the news with reference to</p><p>(a) Certifying the skills acquire by construction workers through traditional channels.</p><p>(b) Enrolling the persons in Universities for distance learning programmes.</p><p>(c) Reserving some skilled jobs to rural and urban poor in some public sector undertakings.</p><p>(d) Certifying the skills acquired by trainees under the National Skill Development Programme.</p></div>,a,Medium
78,78,"<div><p>From the ecological point of view, which one of the following assumes importance in being a good link between the Eastern Ghats and the Western Ghats?</p><p>(a) Sathyamangalam Tiger Reserve</p><p>(b) Nallamala Forest</p><p>(c) Nagarhole National Park</p><p>(d) Seshachalam Biosphere Reserve</p></div>",a,Difficult
79,79,<div><p>One of the implications of equality in society is the absence of</p><p>(a) Privileges</p><p>(b) Restraints</p><p>(c) Competition</p><p>(d) Ideology</p></div>,a,Easy
80,80,<div><p>Consider the following statements in respect of Trade Related Analysis of Fauna and Flora in Commerce (TRAFFIC):</p><ol><li>TRAFFIC is a bureau under United Nations Environment Programme (UNEP).</li><li>The mission of TRAFFIC is to ensure that trade in wild plants and animals is not a threat to the conservation of nature.</li></ol><p>Which of the above statements is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>,b,Difficult
81,81,"<div><p>Which principle among the following was added to the Directive Principles of State Policy by the 42nd Amendment to the Constitution?</p><p>(a) Equal pay for equal work for both men and women</p><p>(b) Participation of workers in the management of industries</p><p>(c) Right to work, education and public assistance</p><p>(d) Securing living wage and human conditions of work to workers</p></div>",b,Medium
82,82,<div><p>Which one of the following statements is correct?</p><p>(a) Rights are claims of the State against the citizens.</p><p>(b) Rights are privileges which are incorporated in the Constitution of a State.</p><p>(c) Rights are claims of the citizens against the State.</p><p>(d) Rights are privileges of a few citizens against the many.</p></div>,c,Medium
83,83,<div><p>Which of the following gives ‘Global Gender Gap Index’ ranking to the countries of the world?</p><p>(a) World Economic Forum</p><p>(b) UN Human Rights Council</p><p>(c) UN Women</p><p>(d) World Health Organization</p></div>,a,Easy
84,84,"<div><p>Which of the following statements is/are correct regarding Smart India Hackathon 2017?</p><ol><li>It is a centrally sponsored scheme for developing every city of our country into Smart Cities in a decade.</li><li>It is an initiative to identify new digital technology innovations for solving the many problems faced by our country.</li><li>It is a programme aimed at making all the financial transactions in our country completely digital in a decade.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 and 3 only</p><p>(b) <span style=""'color:"" data-mce-style=""'color:"">2 only</span></p><p>(c) 3 only</p><p>(d) 2 and 3 only</p></div>",b,Medium
85,85,<div><p>Which of the following statements is/are correct regarding the ‘Monetary Policy Committee (MPC)?</p><ol><li>It decides the RBI’s benchmark interest rates.</li><li>It is a 12-member body including the Governor of RBI and is reconstituted every year.</li><li>It functions under the chairmanship of the Union Finance Minister.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 1 and 2 only</p><p>(c) 3 only</p><p>(d) 2 and 3 only</p></div>,a,Medium
86,86,"<div><p>With reference to Manipuri Sankirtana, consider the following statements:</p><ol><li>It is a song and dance performance.</li><li>Cymbals are the only musical instruments used in the performance.</li><li>It is performed to narrate the life and deeds of Lord Krishna.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1, 2 and 3</p><p>(b) 1 and 3 only</p><p>(c) 2 and 3 only</p><p>(d) 1 only</p></div>",b,Medium
87,87,"<div><p>Who among the following was/were associated with the introduction of Ryotwari Settlement in India during the British Rule?</p><ol><li>Lord Cornwallis</li><li>Alexander Read</li><li>Thomas Munro</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 1 and 3 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Medium
88,88,"<div><p>In the context of solving pollution problems, what is/are the advantage/advantages of bioremediation technique?</p><ol><li>It is a technique for cleaning up pollution by enhancing the same biodegradation process that occurs in nature.</li><li>Any contaminant with heavy metals such as cadmium and lead can be readily and completely treated by bioremediation using microorganisms.</li><li>Genetic engineering can be used to create microorganisms specifically designed for bioremediation.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Difficult
89,89,<div><p>The Trade Disputes Act of 1929 provided for</p><p>(a) the participation of workers in the management of industries.</p><p>(b) arbitrary powers to the management to quell industrial disputes.</p><p>(c) an intervention by the British Court in the event of a trade dispute.</p><p>(d) a system of tribunals and a ban on strikes.</p></div>,d,Difficult
90,90,<div><p>Local self-government can be best explained as an exercise in</p><p>(a) Federalism</p><p>(b) Democratic decentralisation</p><p>(c) Administrative delegation</p><p>(d) Direct democracy</p></div>,b,Easy
91,91,"<div><p>Consider the following statements:</p><p>With reference to the Constitution of India, the Directive Principles of State Policy constitute limitations upon</p><ol><li>legislative function.</li><li>executive function.</li></ol><p>Which of the above statements is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",d,Medium
92,92,<div><p>The term ‘Digital Single Market Strategy’ seen in the news refers to</p><p>(a) ASEAN</p><p>(b) BRICS</p><p>(c) EU</p><p>(d) G20</p></div>,c,Difficult
93,93,"<div><p>At one of the place in India, if you stand on the seashore and watch the sea, ‘you will find that the sea water recedes from the shore line a few kilometres and comes back to the shore, twice a day, and you can actually walk on the sea floor when the water recedes. This unique phenomenon is seen at</p><p>(a) Bhavnagar</p><p>(b) Bheemunipatnam</p><p>(c) Chandipur</p><p>(d) Nagapattinam</p></div>",c,Difficult
94,94,"<div><p>With reference to the ‘Prohibition of Benami Property Transaction Act, 1988 (PBPT Act)’, consider the following statements:</p><ol><li>A property transaction is not treated as a benami transaction if the owner of the property is not aware of the transaction.</li><li>Properties held benami are liable for confiscation by the Government.</li><li>The Act provides for three authorities for investigations but does not provide for any appellate mechanism.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) 1 and 3 only</p><p>(d) 2 and 3 only</p></div>",b,Difficult
95,95,"<div><p>Due to some reasons, if there is a huge fall in the population of species of butterflies, what could be its likely consequence/consequences?</p><ol><li>Pollination of some plants could be adversely affected.</li><li>There could be a drastic increase in the fungal infections of some cultivated plants.</li><li>It could lead to a fall in the population of some species of wasps, spiders and birds.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Difficult
96,96,"<div><p>It is possible to produce algae based biofuels, but what is/are the likely limitation(s) of developing countries in promoting this industry?</p><ol><li>Production of algae based biofuels is possible in seas only and not on continents.</li><li>Setting up and engineering the algae based biofuels production requires high level of expertise/ technology until the construction is complete.</li><li>Economically viable production necessitates the setting up of large scale facilities which may raise ecological and social concerns.</li></ol><p>Select the correct answer using the code given below:</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Difficult
